Record_type,LIN,SUBLIN,NSN,PBIC,TAC,ERC,ECS,UIC,NSN Nomenclature,REQ,AUTH,OH,DI,DOCUMENT NO,SC,ESD,UI,UP,RICC,ECC,LCC,CIIC,AAC,ABA,SER|DETECT SN|REG|LOT|SYS NO
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,7,6,0,,,,EA,1827.15,0,JY,R,U,,2,5T5JDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TBJDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5W7JDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GWBMKN1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GZBNKN1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GZFNKN1|~|~|~|~
S,70210N,,702101C173477,3,3,,,W84VAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,1,0,,,,EA,2481.66,0,JY,R,U,,2,72KJWV1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,5,5,0,,,,EA,1827.15,0,JY,R,U,,2,34CJ1L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,46W93L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,8M9B1L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,DBDBRL1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,DS6Z2L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,25,25,0,,,,EA,1827.15,0,JY,R,U,,2,1P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,25HJ1L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4P93VK1|~|~|~|~
